Scenario - phase2_matchingPennies_algorithm1
Logfile written - 12/13/2019 14:25:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

873	0	Manual	12/13/2019 13:14:35	-9975	-9975
873	0	Response	3	29527	29527	6
873	0	Port Input	4	29527	29527	6
873	0	Response	2	48465	48465	6
873	0	Port Input	1	48465	48465	6
873	0	Response	2	65930	65930	6
873	0	Port Input	1	65930	65930	6
873	0	Response	3	67194	67194	5
873	0	Port Input	4	67194	67194	5
873	0	Response	2	102560	102560	6
873	0	Port Input	1	102560	102560	6
873	0	Response	3	164137	164137	6
873	0	Port Input	4	164137	164137	6
873	0	Response	3	178327	178327	5
873	0	Port Input	4	178327	178327	5
873	0	Response	3	245124	245124	6
873	0	Port Input	4	245124	245124	6
873	0	Response	2	269644	269644	5
873	0	Port Input	1	269644	269644	5
873	0	Response	2	271180	271180	7
873	0	Port Input	1	271180	271180	7
873	0	Response	3	303281	303281	6
873	0	Port Input	4	303281	303281	6
873	0	Response	2	305382	305382	6
873	0	Port Input	1	305382	305382	6
873	0	Response	2	306316	306316	5
873	0	Port Input	1	306316	306316	5
873	0	Response	3	337320	337320	4
873	0	Port Input	4	337320	337320	4
873	0	Response	3	394430	394430	6
873	0	Port Input	4	394430	394430	6
873	0	Response	2	395886	395886	6
873	0	Port Input	1	395886	395886	6
873	0	Response	3	467576	467576	6
873	0	Port Input	4	467576	467576	6
873	0	Response	3	471501	471501	6
873	0	Port Input	4	471501	471501	6
873	0	Response	2	474421	474421	6
873	0	Port Input	1	474421	474421	6
873	0	Response	2	512641	512641	6
873	0	Port Input	1	512641	512641	6
873	0	Response	3	513831	513831	6
873	0	Port Input	4	513831	513831	6
873	0	Response	3	515311	515311	17
873	0	Port Input	4	515311	515311	17
873	0	Response	3	551593	551593	6
873	0	Port Input	4	551593	551593	6
873	0	Response	2	622933	622933	6
873	0	Port Input	1	622933	622933	6
873	0	Response	2	673930	673930	6
873	0	Port Input	1	673930	673930	6
873	0	Response	2	729849	729849	6
873	0	Port Input	1	729849	729849	6
873	0	Response	2	778087	778087	6
873	0	Port Input	1	778087	778087	6
873	0	Response	3	791010	791010	6
873	0	Port Input	4	791010	791010	6
873	0	Response	2	794454	794454	6
873	0	Port Input	1	794454	794454	6
873	0	Response	2	795961	795961	6
873	0	Port Input	1	795961	795961	6
873	0	Response	2	797451	797451	5
873	0	Port Input	1	797451	797451	5
873	0	Response	3	835071	835071	6
873	0	Port Input	4	835071	835071	6
873	0	Response	2	836450	836450	6
873	0	Port Input	1	836450	836450	6
873	0	Response	2	837814	837814	6
873	0	Port Input	1	837814	837814	6
873	0	Response	2	839435	839435	6
873	0	Port Input	1	839435	839435	6
873	0	Response	2	889643	889643	6
873	0	Port Input	1	889643	889643	6
873	0	Response	3	890983	890983	6
873	0	Port Input	4	890983	890983	6
873	1	Nothing	99	907267	0	1			0		other	0
873	2	Nothing	52	907430	0	1			0		other	0
873	2	Response	3	909162	1732	6
873	2	Port Input	4	909162	1732	6
873	3	Nothing	111	909205	0	1			0		false_alarm	81
873	3	Response	3	910568	1363	6
873	3	Port Input	4	910568	1363	6
873	3	Response	3	911726	2521	5
873	3	Port Input	4	911726	2521	5
873	3	Response	3	912938	3733	6
873	3	Port Input	4	912938	3733	6
873	3	Response	3	914090	4885	5
873	3	Port Input	4	914090	4885	5
873	3	Response	3	915380	6175	5
873	3	Port Input	4	915380	6175	5
873	3	Response	3	916811	7606	6
873	3	Port Input	4	916811	7606	6
873	3	Response	3	917927	8722	6
873	3	Port Input	4	917927	8722	6
873	3	Response	3	919495	10290	4
873	3	Port Input	4	919495	10290	4
873	3	Response	3	920831	11626	7
873	3	Port Input	4	920831	11626	7
873	3	Response	3	923812	14607	6
873	3	Port Input	4	923812	14607	6
873	3	Response	3	925015	15810	5
873	3	Port Input	4	925015	15810	5
873	3	Response	3	926442	17237	6
873	3	Port Input	4	926442	17237	6
873	3	Response	3	930884	21679	6
873	3	Port Input	4	930884	21679	6
873	4	Nothing	19	939430	0	1			0		other	0
873	4	Response	3	968594	29164	4
873	4	Port Input	4	968594	29164	4
873	4	Response	2	969800	30370	6
873	4	Port Input	1	969800	30370	6
873	4	Response	3	971022	31592	6
873	4	Port Input	4	971022	31592	6
873	4	Response	2	972301	32871	6
873	4	Port Input	1	972301	32871	6
873	5	Nothing	19	976942	0	2			0		other	0
873	5	Response	3	991512	14570	4
873	5	Port Input	4	991512	14570	4
873	5	Response	2	992848	15906	5
873	5	Port Input	1	992848	15906	5
873	5	Response	2	994374	17432	6
873	5	Port Input	1	994374	17432	6
873	6	Nothing	19	1019391	0	1			0		other	0
873	6	Response	2	1034808	15417	6
873	6	Port Input	1	1034808	15417	6
873	6	Response	3	1045791	26400	6
873	6	Port Input	4	1045791	26400	6
873	6	Response	2	1048698	29307	5
873	6	Port Input	1	1048698	29307	5
