Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/23/2019 11:17:26

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

875	0	Manual	10/23/2019 10:26:23	-9973	-9973
875	0	Response	3	-8086	-8086	14
875	0	Port Input	4	-8086	-8086	14
875	0	Response	2	11762	11762	4
875	0	Port Input	1	11762	11762	4
875	0	Response	3	13968	13968	6
875	0	Port Input	4	13968	13968	6
875	0	Response	3	15910	15910	6
875	0	Port Input	4	15910	15910	6
875	0	Response	3	68886	68886	6
875	0	Port Input	4	68886	68886	6
875	0	Response	2	107934	107934	6
875	0	Port Input	1	107934	107934	6
875	0	Response	3	109953	109953	6
875	0	Port Input	4	109953	109953	6
875	0	Response	3	145239	145239	6
875	0	Port Input	4	145239	145239	6
875	0	Response	3	146926	146926	6
875	0	Port Input	4	146926	146926	6
875	0	Response	3	165167	165167	6
875	0	Port Input	4	165167	165167	6
875	0	Response	3	196171	196171	9
875	0	Port Input	4	196171	196171	9
875	0	Response	3	197813	197813	6
875	0	Port Input	4	197813	197813	6
875	0	Response	3	203122	203122	6
875	0	Port Input	4	203122	203122	6
875	0	Response	3	214980	214980	6
875	0	Port Input	4	214980	214980	6
875	0	Response	2	235662	235662	6
875	0	Port Input	1	235662	235662	6
875	0	Response	3	242886	242886	5
875	0	Port Input	4	242886	242886	5
875	0	Response	3	282840	282840	6
875	0	Port Input	4	282840	282840	6
875	0	Response	3	282845	282845	6
875	0	Port Input	4	282845	282845	6
875	0	Response	3	359434	359434	5
875	0	Port Input	4	359434	359434	5
875	0	Response	3	398317	398317	6
875	0	Port Input	4	398317	398317	6
875	0	Response	3	428927	428927	6
875	0	Port Input	4	428927	428927	6
875	0	Response	2	484478	484478	6
875	0	Port Input	1	484478	484478	6
875	0	Response	2	559303	559303	6
875	0	Port Input	1	559303	559303	6
875	0	Response	3	561749	561749	6
875	0	Port Input	4	561749	561749	6
875	0	Response	2	643125	643125	5
875	0	Port Input	1	643125	643125	5
875	0	Response	2	719719	719719	6
875	0	Port Input	1	719719	719719	6
875	0	Response	3	727329	727329	6
875	0	Port Input	4	727329	727329	6
875	0	Response	3	739249	739249	6
875	0	Port Input	4	739249	739249	6
875	0	Response	3	740988	740988	5
875	0	Port Input	4	740988	740988	5
875	0	Response	2	767921	767921	5
875	0	Port Input	1	767921	767921	5
875	0	Response	3	770614	770614	6
875	0	Port Input	4	770614	770614	6
875	0	Response	3	828943	828943	4
875	0	Port Input	4	828943	828943	4
875	0	Response	3	830681	830681	6
875	0	Port Input	4	830681	830681	6
875	0	Response	3	899772	899772	6
875	0	Port Input	4	899772	899772	6
875	1	Nothing	51	899924	0	2			0		other	0
875	1	Response	2	903595	3671	5
875	1	Port Input	1	903595	3671	5
875	2	Nothing	100	903628	0	1			0		false_alarm	74
875	2	Response	2	905295	1667	6
875	2	Port Input	1	905295	1667	6
875	2	Response	2	907644	4016	6
875	2	Port Input	1	907644	4016	6
875	2	Response	2	909075	5447	6
875	2	Port Input	1	909075	5447	6
875	2	Response	2	910511	6883	6
875	2	Port Input	1	910511	6883	6
875	2	Response	3	912102	8474	5
875	2	Port Input	4	912102	8474	5
875	2	Response	3	913451	9823	6
875	2	Port Input	4	913451	9823	6
875	2	Response	2	915130	11502	6
875	2	Port Input	1	915130	11502	6
875	2	Response	3	916870	13242	6
875	2	Port Input	4	916870	13242	6
875	2	Response	3	918366	14738	6
875	2	Port Input	4	918366	14738	6
875	2	Response	3	919740	16112	6
875	2	Port Input	4	919740	16112	6
875	2	Response	3	921129	17501	6
875	2	Port Input	4	921129	17501	6
875	3	Nothing	19	933857	0	1			0		other	0
875	4	Nothing	51	949845	0	1			0		other	0
875	4	Response	2	952298	2453	5
875	4	Port Input	1	952298	2453	5
875	5	Nothing	100	952337	0	1			0		false_alarm	101
875	5	Response	2	953679	1342	5
875	5	Port Input	1	953679	1342	5
875	5	Response	2	956310	3973	6
875	5	Port Input	1	956310	3973	6
875	5	Response	2	957763	5426	6
875	5	Port Input	1	957763	5426	6
875	5	Response	2	959348	7011	6
875	5	Port Input	1	959348	7011	6
875	5	Response	2	960917	8580	6
875	5	Port Input	1	960917	8580	6
875	5	Response	2	962414	10077	6
875	5	Port Input	1	962414	10077	6
875	5	Response	2	963928	11591	5
875	5	Port Input	1	963928	11591	5
875	6	Nothing	19	982476	0	1			0		other	0
875	6	Response	2	993058	10582	6
875	6	Port Input	1	993058	10582	6
875	6	Response	3	996768	14292	6
875	6	Port Input	4	996768	14292	6
875	6	Response	3	998310	15834	5
875	6	Port Input	4	998310	15834	5
875	7	Nothing	19	1007036	0	1			0		other	0
875	7	Response	3	1020978	13942	6
875	7	Port Input	4	1020978	13942	6
875	8	Nothing	19	1024748	0	1			0		other	0
875	9	Nothing	52	1039421	0	1			0		other	0
875	9	Response	2	1042198	2777	5
875	9	Port Input	1	1042198	2777	5
875	10	Nothing	110	1042228	0	1			0		false_alarm	130
875	10	Response	3	1047034	4806	6
875	10	Port Input	4	1047034	4806	6
875	11	Nothing	19	1072385	0	1			0		other	0
875	12	Nothing	51	1082619	0	1			0		other	0
875	12	Response	2	1085293	2674	6
875	12	Port Input	1	1085293	2674	6
875	13	Nothing	100	1085341	0	1			0		false_alarm	137
875	13	Response	2	1086628	1287	6
875	13	Port Input	1	1086628	1287	6
875	13	Response	2	1089425	4084	5
875	13	Port Input	1	1089425	4084	5
875	13	Response	2	1090910	5569	6
875	13	Port Input	1	1090910	5569	6
875	13	Response	2	1092450	7109	6
875	13	Port Input	1	1092450	7109	6
875	13	Response	2	1094143	8802	6
875	13	Port Input	1	1094143	8802	6
875	13	Response	2	1095681	10340	6
875	13	Port Input	1	1095681	10340	6
875	13	Response	2	1099095	13754	5
875	13	Port Input	1	1099095	13754	5
875	13	Response	2	1100744	15403	6
875	13	Port Input	1	1100744	15403	6
875	14	Nothing	19	1115508	0	1			0		other	0
875	16	Nothing	51	1128953	0	1			0		other	0
875	16	Response	2	1130645	1692	5
875	16	Port Input	1	1130645	1692	5
875	17	Nothing	100	1130673	0	1			0		false_alarm	158
875	17	Response	2	1131717	1044	5
875	17	Port Input	1	1131717	1044	5
875	17	Response	2	1134209	3536	6
875	17	Port Input	1	1134209	3536	6
875	17	Response	2	1135689	5016	6
875	17	Port Input	1	1135689	5016	6
875	17	Response	2	1137336	6663	6
875	17	Port Input	1	1137336	6663	6
875	17	Response	2	1138804	8131	5
875	17	Port Input	1	1138804	8131	5
875	17	Response	2	1138970	8297	6
875	17	Port Input	1	1138970	8297	6
875	17	Response	2	1140509	9836	6
875	17	Port Input	1	1140509	9836	6
875	17	Response	2	1142176	11503	8
875	17	Port Input	1	1142176	11503	8
875	17	Response	2	1143773	13100	6
875	17	Port Input	1	1143773	13100	6
875	17	Response	2	1145392	14719	6
875	17	Port Input	1	1145392	14719	6
875	18	Nothing	19	1161526	0	1			0		other	0
875	18	Response	2	1178708	17182	6
875	18	Port Input	1	1178708	17182	6
875	19	Nothing	19	1207056	0	1			0		other	0
875	20	Nothing	51	1225625	0	1			0		other	0
875	20	Response	2	1227337	1712	5
875	20	Port Input	1	1227337	1712	5
875	21	Nothing	100	1227375	0	1			0		false_alarm	186
875	21	Response	2	1229799	2424	5
875	21	Port Input	1	1229799	2424	5
875	21	Response	2	1231173	3798	6
875	21	Port Input	1	1231173	3798	6
875	21	Response	2	1232585	5210	6
875	21	Port Input	1	1232585	5210	6
875	21	Response	2	1234018	6643	5
875	21	Port Input	1	1234018	6643	5
875	21	Response	2	1235544	8169	13
875	21	Port Input	1	1235544	8169	13
875	21	Response	2	1237254	9879	6
875	21	Port Input	1	1237254	9879	6
875	22	Nothing	19	1261023	0	1			0		other	0
875	23	Nothing	52	1278848	0	1			0		other	0
875	23	Response	2	1281249	2401	6
875	23	Port Input	1	1281249	2401	6
875	24	Nothing	110	1281285	0	1			0		false_alarm	203
875	24	Response	2	1281300	15	5
875	24	Port Input	1	1281300	15	5
875	24	Response	2	1282516	1231	6
875	24	Port Input	1	1282516	1231	6
875	25	Nothing	19	1314751	0	1			0		other	0
875	26	Nothing	52	1330762	0	1			0		other	0
875	26	Response	2	1333181	2419	6
875	26	Port Input	1	1333181	2419	6
875	27	Nothing	110	1333215	0	1			0		other	0
875	28	Nothing	19	1366653	0	1			0		other	0
875	28	Response	3	1377986	11333	7
875	28	Port Input	4	1377986	11333	7
875	29	Nothing	19	1409813	0	1			0		other	0
875	30	Nothing	52	1429254	0	1			0		other	0
875	30	Response	2	1432047	2793	3
875	30	Port Input	1	1432047	2793	3
875	31	Nothing	110	1432078	0	1			0		false_alarm	220
875	31	Response	3	1435848	3770	7
875	31	Port Input	4	1435848	3770	7
875	32	Nothing	19	1465521	0	1			0		other	0
875	34	Nothing	52	1513185	0	1			0		other	0
875	34	Response	2	1516162	2977	6
875	34	Port Input	1	1516162	2977	6
875	35	Nothing	110	1516195	0	1			0		false_alarm	227
875	35	Response	3	1517976	1781	6
875	35	Port Input	4	1517976	1781	6
875	35	Response	3	1519271	3076	6
875	35	Port Input	4	1519271	3076	6
875	36	Nothing	19	1549778	0	1			0		other	0
875	37	Nothing	52	1592444	0	1			0		other	0
875	37	Response	2	1595371	2927	6
875	37	Port Input	1	1595371	2927	6
875	38	Nothing	110	1595406	0	1			0		other	0
875	39	Nothing	19	1628945	0	1			0		other	0
875	39	Response	2	1660180	31235	6
875	39	Port Input	1	1660180	31235	6
875	39	Response	3	1662999	34054	6
875	39	Port Input	4	1662999	34054	6
875	40	Nothing	19	1673474	0	1			0		other	0
875	41	Nothing	52	1694684	0	1			0		other	0
875	41	Response	2	1697702	3018	5
875	41	Port Input	1	1697702	3018	5
875	42	Nothing	110	1697764	0	1			0		false_alarm	246
875	42	Response	3	1701708	3944	6
875	42	Port Input	4	1701708	3944	6
875	43	Nothing	19	1731261	0	1			0		other	0
875	44	Nothing	52	1751812	0	1			0		other	0
875	44	Response	3	1756432	4620	5
875	44	Port Input	4	1756432	4620	5
875	45	Nothing	111	1756471	0	1			0		false_alarm	253
875	45	Response	3	1757923	1452	6
875	45	Port Input	4	1757923	1452	6
875	45	Response	3	1759187	2716	6
875	45	Port Input	4	1759187	2716	6
875	45	Response	3	1760501	4030	6
875	45	Port Input	4	1760501	4030	6
875	45	Response	3	1761895	5424	6
875	45	Port Input	4	1761895	5424	6
875	45	Response	3	1763314	6843	6
875	45	Port Input	4	1763314	6843	6
875	45	Response	3	1764609	8138	6
875	45	Port Input	4	1764609	8138	6
875	45	Response	3	1765995	9524	6
875	45	Port Input	4	1765995	9524	6
875	46	Nothing	19	1790065	0	1			0		other	0
875	47	Nothing	52	1821608	0	1			0		other	0
875	47	Response	3	1825484	3876	4
875	47	Port Input	4	1825484	3876	4
875	48	Nothing	111	1825520	0	1			0		false_alarm	272
875	48	Response	3	1826875	1355	6
875	48	Port Input	4	1826875	1355	6
875	48	Response	3	1828177	2657	7
875	48	Port Input	4	1828177	2657	7
875	48	Response	3	1829527	4007	6
875	48	Port Input	4	1829527	4007	6
875	48	Response	3	1830750	5230	6
875	48	Port Input	4	1830750	5230	6
875	48	Response	3	1832121	6601	6
875	48	Port Input	4	1832121	6601	6
875	48	Response	3	1833588	8068	5
875	48	Port Input	4	1833588	8068	5
875	48	Response	3	1835038	9518	6
875	48	Port Input	4	1835038	9518	6
875	48	Response	3	1837743	12223	5
875	48	Port Input	4	1837743	12223	5
875	48	Response	3	1839342	13822	6
875	48	Port Input	4	1839342	13822	6
875	49	Nothing	19	1859087	0	1			0		other	0
875	49	Response	3	1878875	19788	6
875	49	Port Input	4	1878875	19788	6
875	49	Response	3	1880563	21476	6
875	49	Port Input	4	1880563	21476	6
875	49	Response	3	1881987	22900	6
875	49	Port Input	4	1881987	22900	6
875	49	Response	3	1883377	24290	6
875	49	Port Input	4	1883377	24290	6
875	50	Nothing	19	1884747	0	1			0		other	0
875	50	Response	3	1884821	74	6
875	50	Port Input	4	1884821	74	6
875	51	Nothing	19	1910292	0	1			0		other	0
875	53	Nothing	52	1922566	0	1			0		other	0
875	53	Response	3	1925353	2787	4
875	53	Port Input	4	1925353	2787	4
875	54	Nothing	111	1925391	0	1			0		false_alarm	307
875	54	Response	3	1926840	1449	6
875	54	Port Input	4	1926840	1449	6
875	54	Response	3	1928077	2686	5
875	54	Port Input	4	1928077	2686	5
875	54	Response	3	1928081	2690	6
875	54	Port Input	4	1928081	2690	6
875	54	Response	3	1929437	4046	6
875	54	Port Input	4	1929437	4046	6
875	54	Response	3	1930794	5403	6
875	54	Port Input	4	1930794	5403	6
875	54	Response	3	1932361	6970	6
875	54	Port Input	4	1932361	6970	6
875	54	Response	3	1933806	8415	4
875	54	Port Input	4	1933806	8415	4
875	54	Response	3	1935240	9849	6
875	54	Port Input	4	1935240	9849	6
875	55	Nothing	19	1958887	0	1			0		other	0
875	56	Nothing	51	1977529	0	1			0		other	0
875	56	Response	2	1980288	2759	6
875	56	Port Input	1	1980288	2759	6
875	57	Nothing	100	1980328	0	1			0		false_alarm	328
875	57	Response	2	1981704	1376	5
875	57	Port Input	1	1981704	1376	5
875	57	Response	2	1984507	4179	6
875	57	Port Input	1	1984507	4179	6
875	57	Response	2	1985928	5600	6
875	57	Port Input	1	1985928	5600	6
875	57	Response	2	1987563	7235	6
875	57	Port Input	1	1987563	7235	6
875	57	Response	2	1989558	9230	6
875	57	Port Input	1	1989558	9230	6
875	57	Response	2	1991164	10836	6
875	57	Port Input	1	1991164	10836	6
875	57	Response	2	1993165	12837	5
875	57	Port Input	1	1993165	12837	5
875	58	Nothing	19	2013825	0	1			0		other	0
875	59	Nothing	52	2061633	0	1			0		other	0
875	59	Response	3	2064182	2549	5
875	59	Port Input	4	2064182	2549	5
875	60	Nothing	111	2064221	0	1			0		false_alarm	347
875	60	Response	3	2065572	1351	6
875	60	Port Input	4	2065572	1351	6
875	60	Response	3	2067053	2832	6
875	60	Port Input	4	2067053	2832	6
875	60	Response	3	2068393	4172	6
875	60	Port Input	4	2068393	4172	6
875	60	Response	3	2069898	5677	6
875	60	Port Input	4	2069898	5677	6
875	60	Response	3	2071433	7212	6
875	60	Port Input	4	2071433	7212	6
875	60	Response	3	2073177	8956	6
875	60	Port Input	4	2073177	8956	6
875	61	Nothing	19	2097978	0	1			0		other	0
875	61	Response	2	2127819	29841	6
875	61	Port Input	1	2127819	29841	6
875	62	Nothing	19	2132379	0	1			0		other	0
875	62	Response	2	2163727	31348	6
875	62	Port Input	1	2163727	31348	6
875	62	Response	3	2165498	33119	6
875	62	Port Input	4	2165498	33119	6
875	63	Nothing	19	2169801	0	1			0		other	0
875	64	Nothing	52	2209274	0	1			0		other	0
875	64	Response	2	2212144	2870	6
875	64	Port Input	1	2212144	2870	6
875	65	Nothing	110	2212180	0	1			0		false_alarm	372
875	65	Response	3	2214197	2017	6
875	65	Port Input	4	2214197	2017	6
875	66	Nothing	19	2245817	0	1			0		other	0
875	67	Nothing	51	2262160	0	1			0		other	0
875	67	Response	2	2265343	3183	6
875	67	Port Input	1	2265343	3183	6
875	68	Nothing	100	2265381	0	1			0		false_alarm	379
875	68	Response	2	2266789	1408	6
875	68	Port Input	1	2266789	1408	6
875	68	Response	2	2269380	3999	6
875	68	Port Input	1	2269380	3999	6
875	68	Response	2	2270922	5541	6
875	68	Port Input	1	2270922	5541	6
875	68	Response	2	2272530	7149	5
875	68	Port Input	1	2272530	7149	5
875	68	Response	2	2275747	10366	6
875	68	Port Input	1	2275747	10366	6
875	68	Response	2	2277240	11859	6
875	68	Port Input	1	2277240	11859	6
875	68	Response	2	2278905	13524	6
875	68	Port Input	1	2278905	13524	6
875	69	Nothing	19	2299010	0	1			0		other	0
875	71	Nothing	52	2334372	0	1			0		other	0
875	71	Response	2	2336072	1700	6
875	71	Port Input	1	2336072	1700	6
875	72	Nothing	110	2336106	0	1			0		false_alarm	398
875	72	Response	2	2337633	1527	6
875	72	Port Input	1	2337633	1527	6
875	72	Response	3	2339382	3276	6
875	72	Port Input	4	2339382	3276	6
875	72	Response	3	2341039	4933	6
875	72	Port Input	4	2341039	4933	6
875	73	Nothing	19	2369650	0	1			0		other	0
875	74	Nothing	52	2407939	0	1			0		other	0
875	74	Response	3	2410410	2471	6
875	74	Port Input	4	2410410	2471	6
875	75	Nothing	111	2410451	0	1			0		false_alarm	409
875	75	Response	3	2411812	1361	6
875	75	Port Input	4	2411812	1361	6
875	75	Response	3	2413286	2835	6
875	75	Port Input	4	2413286	2835	6
875	75	Response	3	2414450	3999	6
875	75	Port Input	4	2414450	3999	6
875	75	Response	3	2415930	5479	4
875	75	Port Input	4	2415930	5479	4
875	75	Response	3	2417473	7022	6
875	75	Port Input	4	2417473	7022	6
875	75	Response	3	2418866	8415	5
875	75	Port Input	4	2418866	8415	5
875	75	Response	3	2420427	9976	6
875	75	Port Input	4	2420427	9976	6
875	75	Response	3	2421953	11502	11
875	75	Port Input	4	2421953	11502	11
875	75	Response	3	2423437	12986	6
875	75	Port Input	4	2423437	12986	6
875	76	Nothing	19	2443901	0	1			0		other	0
875	77	Nothing	52	2484362	0	1			0		other	0
875	77	Response	3	2487060	2698	6
875	77	Port Input	4	2487060	2698	6
875	78	Nothing	111	2487103	0	1			0		false_alarm	432
875	78	Response	3	2488621	1518	5
875	78	Port Input	4	2488621	1518	5
875	78	Response	3	2489834	2731	6
875	78	Port Input	4	2489834	2731	6
875	78	Response	3	2491204	4101	6
875	78	Port Input	4	2491204	4101	6
875	78	Response	3	2492668	5565	4
875	78	Port Input	4	2492668	5565	4
875	78	Response	3	2494131	7028	6
875	78	Port Input	4	2494131	7028	6
875	78	Response	3	2495712	8609	6
875	78	Port Input	4	2495712	8609	6
875	78	Response	3	2498429	11326	6
875	78	Port Input	4	2498429	11326	6
875	78	Response	3	2499887	12784	5
875	78	Port Input	4	2499887	12784	5
875	79	Nothing	19	2520595	0	1			0		other	0
875	80	Nothing	51	2541723	0	1			0		other	0
875	80	Response	3	2544256	2533	6
875	80	Port Input	4	2544256	2533	6
875	81	Nothing	101	2544287	0	1			0		false_alarm	453
875	81	Response	2	2545789	1502	4
875	81	Port Input	1	2545789	1502	4
875	81	Response	3	2548381	4094	5
875	81	Port Input	4	2548381	4094	5
875	82	Nothing	19	2577673	0	1			0		other	0
875	83	Nothing	51	2600584	0	1			0		other	0
875	83	Response	2	2603322	2738	6
875	83	Port Input	1	2603322	2738	6
875	84	Nothing	100	2603363	0	1			0		false_alarm	462
875	84	Response	2	2604781	1418	4
875	84	Port Input	1	2604781	1418	4
875	84	Response	2	2607386	4023	6
875	84	Port Input	1	2607386	4023	6
875	84	Response	2	2608998	5635	6
875	84	Port Input	1	2608998	5635	6
875	84	Response	2	2610448	7085	6
875	84	Port Input	1	2610448	7085	6
875	84	Response	2	2612129	8766	6
875	84	Port Input	1	2612129	8766	6
875	84	Response	2	2614043	10680	6
875	84	Port Input	1	2614043	10680	6
875	85	Nothing	19	2637178	0	1			0		other	0
875	85	Response	2	2645260	8082	6
875	85	Port Input	1	2645260	8082	6
875	85	Response	3	2654099	16921	6
875	85	Port Input	4	2654099	16921	6
875	85	Response	3	2659580	22402	6
875	85	Port Input	4	2659580	22402	6
875	86	Nothing	19	2660622	0	1			0		other	0
875	86	Response	3	2661380	758	6
875	86	Port Input	4	2661380	758	6
875	86	Response	3	2671582	10960	6
875	86	Port Input	4	2671582	10960	6
875	86	Response	3	2676506	15884	6
875	86	Port Input	4	2676506	15884	6
875	86	Response	3	2676590	15968	3
875	86	Port Input	4	2676590	15968	3
875	86	Response	3	2697688	37066	5
875	86	Port Input	4	2697688	37066	5
875	87	Nothing	19	2706246	0	1			0		other	0
875	89	Nothing	51	2716585	0	1			0		other	0
875	89	Response	3	2718983	2398	4
875	89	Port Input	4	2718983	2398	4
875	90	Nothing	101	2719013	0	1			0		other	0
875	91	Nothing	19	2752514	0	1			0		other	0
875	92	Nothing	52	2771077	0	1			0		other	0
875	92	Response	3	2773688	2611	5
875	92	Port Input	4	2773688	2611	5
875	92	Response	3	2773692	2615	6
875	92	Port Input	4	2773692	2615	6
875	93	Nothing	111	2773725	0	1			0		false_alarm	504
875	93	Response	3	2774929	1204	5
875	93	Port Input	4	2774929	1204	5
875	93	Response	3	2776357	2632	6
875	93	Port Input	4	2776357	2632	6
875	93	Response	3	2777702	3977	6
875	93	Port Input	4	2777702	3977	6
875	93	Response	3	2779196	5471	5
875	93	Port Input	4	2779196	5471	5
875	93	Response	3	2780828	7103	6
875	93	Port Input	4	2780828	7103	6
875	93	Response	3	2782202	8477	5
875	93	Port Input	4	2782202	8477	5
875	93	Response	3	2784907	11182	5
875	93	Port Input	4	2784907	11182	5
875	94	Nothing	19	2807133	0	1			0		other	0
875	94	Response	2	2837354	30221	5
875	94	Port Input	1	2837354	30221	5
875	95	Nothing	19	2839278	0	1			0		other	0
875	96	Nothing	52	2855448	0	1			0		other	0
875	96	Response	3	2857889	2441	6
875	96	Port Input	4	2857889	2441	6
875	97	Nothing	111	2857925	0	1			0		false_alarm	526
875	97	Response	3	2859252	1327	6
875	97	Port Input	4	2859252	1327	6
875	97	Response	3	2860712	2787	6
875	97	Port Input	4	2860712	2787	6
875	97	Response	3	2861912	3987	6
875	97	Port Input	4	2861912	3987	6
875	97	Response	3	2863376	5451	6
875	97	Port Input	4	2863376	5451	6
875	97	Response	3	2864860	6935	6
875	97	Port Input	4	2864860	6935	6
875	97	Response	3	2867536	9611	6
875	97	Port Input	4	2867536	9611	6
875	97	Response	3	2868981	11056	6
875	97	Port Input	4	2868981	11056	6
875	98	Nothing	19	2891285	0	1			0		other	0
875	99	Nothing	51	2905770	0	1			0		other	0
875	99	Response	2	2908537	2767	6
875	99	Port Input	1	2908537	2767	6
875	100	Nothing	100	2908576	0	1			0		false_alarm	545
875	100	Response	2	2909961	1385	7
875	100	Port Input	1	2909961	1385	7
875	100	Response	2	2912836	4260	6
875	100	Port Input	1	2912836	4260	6
875	100	Response	2	2914337	5761	6
875	100	Port Input	1	2914337	5761	6
875	100	Response	2	2916052	7476	5
875	100	Port Input	1	2916052	7476	5
875	100	Response	2	2918041	9465	6
875	100	Port Input	1	2918041	9465	6
875	100	Response	2	2919671	11095	6
875	100	Port Input	1	2919671	11095	6
875	101	Nothing	19	2942327	0	1			0		other	0
875	102	Nothing	52	2953883	0	1			0		other	0
875	102	Response	2	2956666	2783	5
875	102	Port Input	1	2956666	2783	5
875	103	Nothing	110	2956696	0	1			0		false_alarm	562
875	103	Response	2	2958156	1460	6
875	103	Port Input	1	2958156	1460	6
875	104	Nothing	19	2990155	0	1			0		other	0
875	106	Nothing	51	3002325	0	1			0		other	0
875	106	Response	2	3005008	2683	6
875	106	Port Input	1	3005008	2683	6
875	107	Nothing	100	3005048	0	1			0		false_alarm	569
875	107	Response	2	3006371	1323	6
875	107	Port Input	1	3006371	1323	6
875	107	Response	2	3007773	2725	6
875	107	Port Input	1	3007773	2725	6
875	107	Response	2	3009251	4203	3
875	107	Port Input	1	3009251	4203	3
875	107	Response	2	3010669	5621	6
875	107	Port Input	1	3010669	5621	6
875	107	Response	2	3013676	8628	4
