scorer,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right,Center,Center,Center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
95,175.2244873046875,79.48025512695312,1.0,172.6757049560547,134.31094360351562,1.0,150.24549865722656,106.74010467529297,1.0,197.0572052001953,107.27454376220703,1.0,174.84817504882812,105.8878173828125,1.0
96,174.33309936523438,78.70722198486328,1.0,171.8307647705078,133.14854431152344,1.0,149.48814392089844,105.78265380859375,1.0,196.3397674560547,106.36030578613281,1.0,173.6012725830078,105.37110900878906,1.0
97,174.15631103515625,78.82801055908203,1.0,171.76185607910156,133.28257751464844,1.0,149.2285919189453,105.57109069824219,1.0,196.5920867919922,105.94295501708984,1.0,173.02410888671875,105.57438659667969,1.0
98,173.73011779785156,79.10916900634766,1.0,171.23764038085938,134.10116577148438,1.0,148.77906799316406,106.8164291381836,1.0,195.58102416992188,107.0372314453125,1.0,172.37535095214844,106.4349365234375,1.0
99,174.79727172851562,79.24456787109375,1.0,173.96084594726562,134.54444885253906,1.0,148.82183837890625,107.21551513671875,1.0,197.38223266601562,107.41139221191406,1.0,174.2636260986328,106.02222442626953,1.0
100,174.75160217285156,80.04034423828125,1.0,173.54649353027344,135.4288330078125,1.0,148.95513916015625,108.382080078125,1.0,196.92591857910156,108.03594970703125,1.0,174.0757598876953,106.89924621582031,1.0
101,174.2005157470703,79.83627319335938,1.0,171.76968383789062,134.77218627929688,1.0,148.86634826660156,107.6751937866211,1.0,196.06033325195312,107.78551483154297,1.0,173.2740478515625,107.04645538330078,1.0
102,175.31983947753906,80.2012710571289,1.0,173.2547607421875,134.4442596435547,1.0,150.53497314453125,107.51467895507812,1.0,196.64308166503906,108.17914581298828,1.0,175.00289916992188,106.31399536132812,1.0
103,175.49569702148438,80.19690704345703,1.0,172.65713500976562,134.20852661132812,1.0,150.16400146484375,107.64134216308594,1.0,196.5535125732422,107.69629669189453,1.0,174.57266235351562,106.38379669189453,1.0
104,177.387939453125,77.75635528564453,1.0,176.9971923828125,131.72402954101562,1.0,153.21804809570312,103.75593566894531,1.0,200.4170379638672,106.39942169189453,1.0,178.0868377685547,103.71627807617188,1.0
105,176.60389709472656,76.316650390625,1.0,174.63092041015625,129.77365112304688,1.0,153.1505889892578,102.55889129638672,1.0,197.3723602294922,104.1541519165039,1.0,175.57452392578125,102.85000610351562,1.0
106,177.4044952392578,77.0826644897461,1.0,175.51486206054688,131.1308135986328,1.0,152.42063903808594,103.70272064208984,1.0,199.30331420898438,104.65946960449219,1.0,176.93443298339844,103.44354248046875,1.0
107,176.3905792236328,77.89876556396484,1.0,175.76808166503906,133.98773193359375,1.0,151.9888153076172,105.84777069091797,1.0,199.66587829589844,107.88092803955078,1.0,176.99331665039062,105.39468383789062,1.0
108,176.35275268554688,77.2288589477539,1.0,175.3341064453125,133.4781036376953,1.0,151.76461791992188,105.09044647216797,1.0,199.8987579345703,107.17181396484375,1.0,177.1981201171875,104.48228454589844,1.0
109,176.74974060058594,77.43559265136719,1.0,175.66293334960938,133.58181762695312,1.0,152.0890350341797,105.03136444091797,1.0,200.12596130371094,107.2436752319336,1.0,177.4305419921875,104.41410064697266,1.0
110,177.3739013671875,75.86019134521484,1.0,176.256591796875,133.98770141601562,1.0,152.00872802734375,105.36809539794922,1.0,200.30938720703125,107.3018569946289,1.0,177.47555541992188,104.6916732788086,1.0
111,185.4667205810547,79.45295715332031,1.0,184.42762756347656,134.04287719726562,1.0,158.97616577148438,107.18681335449219,1.0,208.63616943359375,106.47590637207031,1.0,183.88905334472656,107.65797424316406,1.0
112,185.5487060546875,77.92266082763672,1.0,184.21917724609375,132.74444580078125,1.0,159.07980346679688,106.3059310913086,1.0,209.34909057617188,105.1337890625,1.0,184.36744689941406,106.84138488769531,1.0
113,183.29237365722656,74.30189514160156,1.0,182.00503540039062,131.76634216308594,1.0,156.05462646484375,102.11410522460938,1.0,206.85546875,106.1673812866211,1.0,183.71685791015625,102.9869613647461,1.0
114,185.354736328125,78.59136962890625,1.0,184.10255432128906,134.5467529296875,1.0,158.41648864746094,107.15093231201172,1.0,209.77601623535156,106.49396514892578,1.0,183.86294555664062,107.54019927978516,1.0
115,185.2041015625,75.807373046875,1.0,183.85939025878906,133.80809020996094,1.0,157.82130432128906,104.70043182373047,1.0,209.92955017089844,105.86722564697266,1.0,183.80450439453125,106.67302703857422,1.0
116,184.80116271972656,74.95692443847656,1.0,183.5752716064453,133.26905822753906,1.0,157.1930694580078,103.74481201171875,1.0,209.66551208496094,104.49248504638672,1.0,183.7596893310547,105.81158447265625,1.0
117,183.99168395996094,74.32694244384766,1.0,182.6088104248047,132.9115753173828,1.0,156.1846923828125,102.88121032714844,1.0,209.11244201660156,104.53546905517578,1.0,182.9691162109375,105.27632904052734,1.0
